30.01.2024 10:39 
Файл lab.log відкрито 
Оновлений час: 30.01.2024 10:39 

Image Name                     PID Session Name        Session#    Mem Usage
CRWindowsClientService.ex    24784 Console                    1     13 428 K
cmd.exe                       9416 Console                    1      7 060 K
w32tm.exe                    11716 Console                    1      2 200 K
conhost.exe                  23936 Console                    1      8 124 K
tasklist.exe                 27800 Console                    1      9 348 K
OpenConsole.exe              23904 Console                    1     10 920 K
WindowsTerminal.exe           3500 Console                    1      8 936 K
msedgewebview2.exe           20056 Console                    1      2 572 K
Файл Photoshop.exe успішно завершено 
Видалення файлів, які мають розширення .TMP, або їх ім’я починається на «temp» в d:\lab2:
Видалено 0 файл(и)
Архів не створено
Вчорашній архів відсутній
Архівів старших за 30 днів не знайдено
Підключення до інтернету присутнє
IP-адреса не знайдена
Список комп'ютерів в мережі:

Interface: 192.168.31.191 --- 0xd
  Internet Address      Physical Address      Type
  192.168.31.1          50-d2-f5-9a-cd-99     dynamic   
  192.168.31.255        ff-ff-ff-ff-ff-ff     static    
  224.0.0.2             01-00-5e-00-00-02     static    
  224.0.0.22            01-00-5e-00-00-16     static    
  224.0.0.251           01-00-5e-00-00-fb     static    
  224.0.0.252           01-00-5e-00-00-fc     static    
  239.192.152.143       01-00-5e-40-98-8f     static    
  239.255.255.250       01-00-5e-7f-ff-fa     static    
  255.255.255.255       ff-ff-ff-ff-ff-ff     static    
Не усі IP-адреси з ipon.txt наявні у системі
log.log занадто великий, 26775 байт
Caption  FreeSpace     Size          
C:       48663523328   255217807360  
D:       157393866752  434794131456  

